test_id,is_female
0,0.996
1,0.15
2,0.99
3,0.966
4,0.516
5,0.994
6,0.232
7,0.888
8,0.036
9,0.286
10,0.022
11,0.144
12,0.462
13,0.606
14,0.748
15,0.462
16,0.28
17,0.716
18,0.082
19,0.83
20,0.008
21,0.99
22,0.778
23,1.0
24,0.25
25,0.318
26,0.458
27,0.398
28,0.018
29,0.684
30,0.998
31,0.192
32,0.002
33,0.134
34,1.0
35,0.052
36,0.946
37,0.018
38,0.292
39,0.904
40,0.946
41,0.986
42,0.038
43,0.01
44,0.618
45,0.142
46,1.0
47,1.0
48,0.472
49,1.0
50,0.982
51,0.998
52,0.472
53,0.416
54,0.654
55,0.43
56,0.816
57,1.0
58,0.846
59,0.256
60,0.062
61,0.496
62,0.128
63,0.026
64,0.996
65,0.068
66,0.05
67,0.0
68,0.998
69,1.0
70,0.0
71,0.998
72,0.998
73,0.01
74,0.262
75,0.962
76,0.01
77,0.99
78,0.468
79,0.028
80,0.462
81,0.028
82,0.828
83,0.204
84,0.934
85,0.01
86,0.494
87,0.196
88,0.424
89,0.272
90,0.908
91,0.312
92,0.16
93,0.012
94,0.022
95,0.018
96,0.852
97,0.954
98,0.432
99,0.8
100,1.0
101,0.06
102,0.994
103,1.0
104,0.064
105,0.996
106,0.996
107,0.976
108,0.036
109,0.008
110,0.976
111,0.004
112,0.004
113,0.988
114,1.0
115,0.006
116,0.264
117,0.026
118,0.278
119,0.75
120,0.39
121,0.89
122,0.81
123,0.314
124,0.86
125,0.144
126,0.936
127,0.872
128,0.016
129,0.004
130,0.932
131,0.93
132,0.04
133,0.002
134,0.998
135,0.1
136,0.944
137,0.014
138,0.992
139,0.956
140,0.232
141,1.0
142,0.91
143,0.05
144,0.99
145,0.782
146,0.974
147,0.674
148,1.0
149,0.58
150,0.986
151,0.438
152,0.964
153,0.844
154,0.994
155,0.86
156,0.99
157,1.0
158,0.008
159,0.036
160,0.066
161,0.908
162,1.0
163,0.334
164,0.884
165,0.106
166,0.004
167,0.992
168,0.982
169,0.424
170,0.818
171,1.0
172,0.366
173,0.028
174,0.926
175,0.992
176,0.676
177,0.32
178,0.098
179,0.064
180,0.88
181,0.998
182,0.092
183,0.016
184,0.004
185,0.984
186,0.078
187,0.966
188,0.66
189,0.898
190,0.004
191,0.02
192,0.012
193,0.946
194,0.192
195,0.46
196,0.998
197,0.988
198,0.914
199,0.36
200,0.54
201,0.104
202,0.996
203,0.638
204,0.046
205,0.888
206,0.954
207,0.592
208,0.998
209,0.998
210,0.972
211,0.866
212,0.09
213,0.892
214,0.992
215,0.578
216,0.704
217,0.994
218,0.038
219,0.172
220,0.014
221,0.114
222,0.046
223,0.442
224,0.908
225,0.278
226,0.934
227,0.026
228,0.246
229,0.712
230,0.466
231,0.994
232,0.174
233,0.628
234,0.052
235,0.022
236,0.226
237,1.0
238,0.078
239,0.044
240,0.368
241,0.986
242,0.232
243,0.874
244,0.778
245,0.73
246,0.214
247,0.0
248,0.994
249,0.37
250,0.034
251,0.554
252,0.384
253,0.966
254,0.198
255,0.008
256,0.86
257,0.094
258,0.014
259,1.0
260,0.0
261,0.836
262,0.428
263,0.834
264,0.994
265,0.172
266,0.734
267,0.38
268,0.216
269,0.998
270,1.0
271,0.568
272,0.712
273,0.998
274,0.764
275,0.684
276,0.102
277,0.19
278,1.0
279,1.0
280,0.276
281,0.044
282,0.982
283,0.336
284,0.02
285,0.046
286,0.006
287,0.54
288,0.116
289,1.0
290,0.798
291,0.95
292,0.07
293,0.01
294,0.072
295,0.716
296,0.012
297,0.154
298,0.008
299,0.006
300,0.01
301,0.864
302,0.964
